index,smiles,oxidation_potential,reduction_potential
215,CCCOC1CCC1,-1.5441797051420876,0.1038602634221748
216,C[C@@H](C1CCC1)OC,,
217,CCO[C@H]1CC[C@H]1C,,
218,CCCC[C@H]1CCO1,,
219,CCC[C@H]1CC[C@H]1O,1.678419744821949,-0.640809831350853
220,C[C@H]1CC[C@H]1CCO,,
221,C[C@H]1CCCCOC1,,
222,C[C@H]1CCOC[C@H]1C,,
223,C[C@H]1CCCC[C@H]1O,,
224,C[C@H]1CC[C@H]([C@H]1C)O,,
225,C1CC(C1)CCCO,,
226,CCCCC1COC1,,
227,CC[C@@H](C)C1COC1,,
228,C[C@@H](CO)C1CCC1,,
229,C[C@@H]1CC[C@@H]1COC,,
230,C[C@H]1CO[C@@H](C)[C@H]1C,,
231,C[C@H]1CC[C@@H](C)[C@H]1O,,
232,C[C@H]1CCCO[C@H]1C,,
233,CC[C@@H]1[C@H](C)[C@H](C)O1,,
234,CC[C@H]1C[C@H]([C@H]1C)O,,
235,C[C@@H]1C[C@@H]([C@@H]1C)OC,,
236,CC[C@H]1C[C@@H](C)[C@H]1O,,
237,CC(C)COC1CC1,2.3594700184663084,
238,C[C@H](CCC1CC1)O,0.31485176343090604,-1.3423666603002316
239,C[C@H]1C[C@@H](CO)[C@H]1C,,
240,CC(C)OCC1CC1,,
241,C[C@@H](CC1CC1)OC,,
242,C[C@H](CC1CC1)CO,,
243,CC[C@@H](C)OC1CC1,,
244,CC[C@H](CC1CC1)O,,
245,CC[C@@H]1C[C@H](C)OC1,,
246,CC[C@H]1CC[C@H](C1)O,,
247,CC[C@H]1CC[C@@H](C)O1,,
248,CC[C@H]1C[C@@H](C)CO1,4.382357945018666,-5.971029929068609
249,CC[C@H]1C[C@H](C1)CO,,
250,C[C@H]1CC[C@H](C1)CO,,
251,CC[C@H]1C[C@@H](CC)O1,4.9077916653610005,-4.783550962985319
252,C[C@@H]1CC[C@@H](C1)OC,,
253,CC[C@H]1C[C@@H](C1)OC,,
254,C[C@H]1CC[C@H](CC1)O,,
255,C[C@H]1[C@@H](C)[C@H]([C@H]1C)O,-0.16433394333893414,-1.7804453177008694
256,C[C@H]1CC[C@@H](C)OC1,,
257,CC(C)(C1CC1)OC,,
258,CCC(C)(C)[C@H]1CO1,,
259,CC[C@](C)(C1CC1)O,,
260,CC(C)(CO)C1CC1,,
261,CCC1(CC1)[C@@H](C)O,,
262,CC[C@]1(C[C@H]1C)OC,,
263,C1CC1C#C[C@H]1CN1,,
264,CC(C)C1(CC1)CO,,
265,CCC1(CC)[C@H](C)O1,,
266,CCC1(CC1)OCC,,
267,CCC1(CC)C[C@H]1O,,
268,CC[C@]1(C[C@H]1C)CO,,
269,CCC1(CC1)COC,,
270,CCC1(CC)CCO1,,
271,CCCC1(CC1)CO,,
272,CCC1(CCC1)CO,,
273,CCC1(CCC1)OC,,
274,CCC1(CC1)CCO,,
275,CCCC1(CC1)OC,,
276,CCC(CC)C(=O)C,,
277,C[C@H]1[C@@H](C)[C@]1(C)CO,,
278,CC[C@]1([C@@H](C)[C@H]1C)O,,
279,CCC1(CC)COC1,,
280,CC[C@@]1(C)[C@@H](C)[C@H]1O,,
281,CCC[C@@H](CC)C=O,,
282,C[C@H]1[C@@H](C)[C@@]1(C)OC,,
283,CC[C@@H](C=O)C(C)C,,
284,CCC(CC)CC=O,,
285,CCCOC1(C)CC1,,
286,CC1(CC1)CCOC,,
287,CCOCC1(C)CC1,,
288,CCCCC1(CC1)O,4.300470969392845,-4.779952736911073
289,CCCC[C@@]1(C)CO1,,
